species,nicheArea,totalDetections,totalSites
Acorn.Woodpecker,99.31271218,1017262,576
American.Kestrel,137.3078911,16337,355
American.Robin,177.7403417,4254650,576
Ash.throated.Flycatcher,30.45960631,551143,540
Band.tailed.Pigeon,228.2492034,37674,441
Bewick.s.Wren,66.24491087,31020,151
Black.backed.Woodpecker,23.06032657,2118,109
Black.headed.Grosbeak,162.5256613,3364961,575
Black.Phoebe,115.191489,2819,94
Blue.gray.Gnatcatcher,69.27779322,97613,381
Brewer.s.Blackbird,68.43067785,4039,399
Brown.Creeper,157.9299548,844821,569
Bullock.s.Oriole,14.31604041,1641,73
Bushtit,114.9197208,85520,468
California.Quail,53.9454976,81911,388
California.Scrub.Jay,75.10136012,194020,544
California.Towhee,60.31651514,87704,289
Canyon.Wren,8.746589762,1590,124
Cassin.s.Finch,119.8360615,3468,171
Cassin.s.Vireo,166.5133868,1240969,561
Chestnut.backed.Chickadee,37.30198232,853,85
Chipping.Sparrow,93.17408016,1306,79
Clark.s.Nutcracker,85.6219919,25013,372
Common.Nighthawk,74.04366343,391545,576
Common.Poorwill,72.12462357,82881,453
Common.Raven,210.756625,156020,571
Dark.eyed.Junco,187.2054858,66466,502
Dusky.Flycatcher,85.50512723,1310173,550
Eurasian.Collared.Dove,3.218733499,1065,68
Evening.Grosbeak,93.91510727,20458,549
Fox.Sparrow,90.45540023,90399,434
Golden.crowned.Kinglet,88.01404442,1336862,562
Gray.Flycatcher,16.7000668,2151,197
Green.tailed.Towhee,66.54215585,231704,411
Hairy.Woodpecker,191.5604421,338567,574
Hammond.s.Flycatcher,84.3287935,419251,449
Hermit.Thrush,78.40005283,1898972,577
Hermit.Warbler,121.0105723,595406,546
House.Finch,35.57043017,43199,411
House.Wren,146.1144287,41030,369
Hutton.s.Vireo,109.6981393,206727,502
Lazuli.Bunting,97.39099571,737541,475
Lesser.Goldfinch,127.835725,59957,374
MacGillivray.s.Warbler,121.2092251,770377,546
Mountain.Bluebird,27.45203016,20262,496
Mountain.Chickadee,102.4765823,2816593,575
Mountain.Quail,121.3421747,3820235,573
Mourning.Dove,83.03212918,347331,526
Nashville.Warbler,163.7005766,843195,570
Northern.Flicker,187.0241348,419352,576
Nuttall.s.Woodpecker,97.91381169,3366,120
Oak.Titmouse,49.67470669,126349,310
Olive.sided.Flycatcher,109.7593202,1364570,574
Orange.crowned.Warbler,154.0654293,50881,507
Osprey,269.8802291,1251,116
Pacific.slope.Flycatcher,121.3797915,1113624,551
Pacific.Wren,127.4497042,405618,501
Phainopepla,12.22031258,32564,283
Pileated.Woodpecker,168.9046739,62071,503
Pine.Siskin,54.01179817,5427,335
Plumbeous.Vireo,198.9362717,66399,556
Purple.Finch,147.663567,723720,573
Pygmy.Nuthatch,43.13214466,2390,228
Red.breasted.Nuthatch,132.657752,9221135,576
Red.breasted.Sapsucker,120.4131857,83453,532
Red.Crossbill,130.0615444,6878,481
Red.naped.Sapsucker,129.971693,61260,519
Red.shouldered.Hawk,100.611661,2404,186
Red.tailed.Hawk,261.2892911,2970,267
Rock.Wren,28.8029786,4295,158
Rufous.crowned.Sparrow,25.53401843,22176,170
Spotted.Towhee,124.6446727,3658573,573
Steller.s.Jay,161.1939802,3394725,577
Swainson.s.Thrush,63.9263501,23263,514
Townsend.s.Solitaire,110.2540057,498751,576
Violet.green.Swallow,37.79661905,64807,278
Warbling.Vireo,108.5819381,126697,439
Western.Bluebird,111.3177574,78945,509
Western.Kingbird,10.61169544,5473,302
Western.Tanager,151.243262,16832879,577
Western.Wood.Pewee,135.530643,3525824,576
White.breasted.Nuthatch,194.325127,101640,567
White.headed.Woodpecker,113.2774327,284197,566
White.throated.Swift,126.5267737,6237,321
Williamson.s.Sapsucker,71.76809133,18544,482
Wilson.s.Warbler,158.0460368,75572,490
Woodhouse.s.Scrub.Jay,80.95058572,6991,316
Wrentit,74.67163987,92489,502
Yellow.rumped.Warbler,108.6596857,2803145,576
Yellow.Warbler,99.19677646,15838,253